rank,country,earning,players
1.,China,"$81,396,824.04",625 Players
2.,Russian Federation,"$28,239,165.55",580 Players
3.,Ukraine,"$18,802,294.56",260 Players
4.,Finland,"$17,266,239.31",91 Players
5.,United States,"$16,770,021.72",221 Players
6.,Sweden,"$14,576,401.21",132 Players
7.,Malaysia,"$13,045,328.07",163 Players
8.,Denmark,"$12,818,877.83",57 Players
9.,Philippines,"$10,859,591.50",161 Players
10.,Germany,"$10,365,846.88",124 Players
11.,Australia,"$8,035,912.41",95 Players
12.,Canada,"$7,746,816.52",97 Players
13.,Jordan,"$7,588,268.26",25 Players
14.,Peru,"$6,145,989.72",173 Players
15.,France,"$5,899,931.73",31 Players
16.,Bulgaria,"$5,575,164.92",24 Players
17.,Israel,"$5,193,805.12",4 Players
18.,Pakistan,"$4,556,548.59",34 Players
19.,Lebanon,"$4,428,854.06",21 Players
20.,Estonia,"$4,230,883.79",6 Players
21.,"Korea, Republic of","$3,927,598.14",115 Players
22.,North Macedonia,"$3,093,510.28",9 Players
23.,Romania,"$2,752,433.63",57 Players
24.,Singapore,"$2,675,366.88",55 Players
25.,Poland,"$2,490,404.62",55 Players
26.,Brazil,"$2,248,609.18",153 Players
27.,Slovakia,"$1,966,888.55",27 Players
28.,Indonesia,"$1,863,443.22",99 Players
29.,Thailand,"$1,815,054.68",94 Players
30.,Belarus,"$1,625,747.06",63 Players
31.,Netherlands,"$1,444,571.99",26 Players
32.,Macao,"$1,337,308.37",1 Player
33.,Kyrgyzstan,"$1,157,484.55",36 Players
34.,Greece,"$1,133,680.31",22 Players
35.,Bolivia,"$712,780.92",8 Players
36.,Czech Republic,"$670,875.47",64 Players
37.,Norway,"$611,290.75",6 Players
38.,Kazakhstan,"$512,637.75",106 Players
39.,"Moldova, Republic of","$462,117.21",1 Player
40.,Lao People's Democratic Republic,"$261,876.22",21 Players
41.,Mongolia,"$221,093.60",53 Players
42.,Austria,"$194,767.13",26 Players
43.,Serbia,"$183,068.42",38 Players
44.,United Kingdom,"$165,093.81",134 Players
45.,Viet Nam,"$142,060.49",51 Players
46.,Argentina,"$140,439.14",19 Players
47.,India,"$116,642.11",110 Players
48.,Mexico,"$111,728.82",12 Players
49.,Bosnia and Herzegovina,"$91,049.97",6 Players
50.,Georgia,"$72,473.31",9 Players
51.,South Africa,"$65,101.68",74 Players
52.,Turkey,"$63,163.48",29 Players
53.,Croatia,"$60,518.11",9 Players
54.,Myanmar,"$59,306.32",20 Players
55.,"Iran, Islamic Republic of","$56,775.62",43 Players
56.,Ecuador,"$40,357.58",8 Players
57.,Saudi Arabia,"$40,045.56",4 Players
58.,Belgium,"$36,048.78",1 Player
59.,Nicaragua,"$27,996.78",1 Player
60.,Uruguay,"$27,800.67",1 Player
61.,Japan,"$20,500.00",10 Players
62.,Chile,"$20,143.06",13 Players
63.,Egypt,"$20,030.66",12 Players
64.,Slovenia,"$15,635.25",1 Player
65.,Uzbekistan,"$13,074.31",7 Players
66.,Hungary,"$12,256.20",16 Players
67.,Albania,"$11,437.92",7 Players
68.,Cambodia,"$10,972.50",10 Players
69.,Bangladesh,"$6,335.40",8 Players
70.,New Zealand,"$5,928.51",13 Players
71.,Turkmenistan,"$5,000.00",5 Players
72.,Nepal,"$4,936.40",15 Players
73.,Syrian Arab Republic,"$4,747.89",6 Players
74.,Venezuela,"$4,150.00",2 Players
75.,Switzerland,"$3,638.77",16 Players
76.,Lithuania,"$3,544.00",7 Players
77.,"Kosovo, Republic of","$3,200.00",4 Players
78.,Latvia,"$2,755.72",2 Players
79.,Portugal,"$1,997.84",1 Player
80.,Italy,"$1,927.90",4 Players
81.,United Arab Emirates,"$1,733.65",4 Players
82.,Bahrain,"$1,662.44",1 Player
83.,Armenia,"$1,661.45",6 Players
84.,Brunei Darussalam,"$1,000.00",5 Players
85.,Colombia,$733.33,1 Player
86.,Iceland,$686.56,2 Players
87.,Iraq,$657.70,1 Player
88.,Spain,$600.00,1 Player
89.,"Taiwan, Republic of China",$516.80,2 Players
90.,Ireland,$407.05,3 Players
91.,Azerbaijan,$294.60,15 Players
92.,Malta,$239.00,2 Players
93.,Bermuda,$200.00,1 Player
94.,Sri Lanka,$155.95,5 Players
95.,Montenegro,$100.01,1 Player
96.,Cuba,$100.00,5 Players
97.,Algeria,$77.88,1 Player
