rank,country,earning,players
1.,"Korea, Republic of","$5,837,243.79",153 Players
2.,China,"$3,249,513.05",201 Players
3.,United States,"$2,555,061.44",162 Players
4.,Sweden,"$1,322,788.18",33 Players
5.,Germany,"$794,720.76",56 Players
6.,United Kingdom,"$510,790.69",25 Players
7.,France,"$490,959.37",50 Players
8.,Canada,"$476,065.11",34 Players
9.,"Taiwan, Republic of China","$463,354.82",63 Players
10.,Australia,"$363,315.70",87 Players
11.,Poland,"$311,352.28",52 Players
12.,Denmark,"$288,470.05",11 Players
13.,Bulgaria,"$203,599.79",5 Players
14.,Brazil,"$169,044.76",49 Players
15.,Spain,"$140,179.56",29 Players
16.,Slovenia,"$111,493.39",3 Players
17.,Singapore,"$83,584.15",39 Players
18.,Norway,"$83,121.60",5 Players
19.,Philippines,"$78,800.00",23 Players
20.,Russian Federation,"$77,726.70",34 Players
21.,Croatia,"$72,193.01",1 Player
22.,Netherlands,"$47,428.29",13 Players
23.,Austria,"$42,242.63",1 Player
24.,Ukraine,"$34,132.35",11 Players
25.,Peru,"$29,267.50",15 Players
26.,Mexico,"$27,733.30",13 Players
27.,Latvia,"$27,182.85",2 Players
28.,Hong Kong,"$24,195.48",6 Players
29.,New Zealand,"$22,187.50",7 Players
30.,Argentina,"$18,270.60",18 Players
31.,Portugal,"$15,588.36",6 Players
32.,Thailand,"$14,387.55",11 Players
33.,Switzerland,"$12,181.19",3 Players
34.,Malaysia,"$11,650.00",21 Players
35.,Serbia,"$10,500.00",1 Player
36.,Italy,"$9,200.57",9 Players
37.,Chile,"$7,066.67",20 Players
38.,Hungary,"$4,663.32",8 Players
39.,Venezuela,"$3,583.33",3 Players
40.,Belgium,"$2,098.94",6 Players
41.,Finland,"$1,928.92",7 Players
42.,Czech Republic,"$1,500.00",5 Players
43.,Japan,"$1,002.00",5 Players
44.,Greece,$578.92,6 Players
45.,Iceland,$328.92,1 Player
46.,Cuba,$94.90,1 Player
47.,Lithuania,$44.68,1 Player
48.,Belarus,$40.00,1 Player
49.,Jamaica,$30.00,1 Player
