rank,country,earning,players
1.,"Korea, Republic of","$34,043,189.95",960 Players
2.,China,"$19,038,102.99",571 Players
3.,"Taiwan, Republic of China","$5,388,659.84",238 Players
4.,United States,"$4,554,248.23",544 Players
5.,Denmark,"$3,837,520.51",271 Players
6.,Poland,"$2,632,812.33",412 Players
7.,Germany,"$2,320,994.90",540 Players
8.,France,"$2,154,234.92",430 Players
9.,Canada,"$1,880,055.09",208 Players
10.,Viet Nam,"$1,872,398.70",299 Players
11.,Brazil,"$1,557,437.07",308 Players
12.,Russian Federation,"$1,532,061.41",155 Players
13.,Sweden,"$1,467,090.03",215 Players
14.,Spain,"$1,094,822.09",234 Players
15.,Hong Kong,"$1,053,915.88",100 Players
16.,Australia,"$927,093.16",113 Players
17.,Turkey,"$902,567.06",156 Players
18.,Belgium,"$828,136.17",92 Players
19.,Netherlands,"$798,500.68",228 Players
20.,Czech Republic,"$744,937.04",173 Players
21.,United Kingdom,"$730,697.56",189 Players
22.,Croatia,"$691,412.63",39 Players
23.,Japan,"$594,129.64",71 Players
24.,Bulgaria,"$579,187.59",67 Players
25.,Slovenia,"$518,919.79",33 Players
26.,Philippines,"$514,297.75",127 Players
27.,Greece,"$473,647.09",199 Players
28.,Ukraine,"$467,846.37",60 Players
29.,Saudi Arabia,"$462,457.21",21 Players
30.,Thailand,"$462,278.46",110 Players
31.,Romania,"$423,074.07",89 Players
32.,Chile,"$371,809.25",63 Players
33.,Argentina,"$355,451.93",62 Players
34.,Singapore,"$340,957.49",105 Players
35.,Norway,"$332,288.23",98 Players
36.,Finland,"$315,099.95",156 Players
37.,Mexico,"$304,858.08",73 Players
38.,Portugal,"$238,820.94",155 Players
39.,Hungary,"$223,104.70",86 Players
40.,Lithuania,"$217,056.65",86 Players
41.,Malaysia,"$204,544.37",68 Players
42.,Serbia,"$172,285.12",67 Players
43.,Lebanon,"$169,636.91",5 Players
44.,Tunisia,"$160,610.54",21 Players
45.,Estonia,"$159,191.97",33 Players
46.,Italy,"$152,341.58",62 Players
47.,Armenia,"$148,423.34",1 Player
48.,Egypt,"$147,341.34",28 Players
49.,Austria,"$134,783.12",71 Players
50.,Peru,"$133,084.33",12 Players
51.,Jordan,"$121,701.42",16 Players
52.,Slovakia,"$115,804.19",55 Players
53.,New Zealand,"$109,097.50",11 Players
54.,Indonesia,"$93,733.83",40 Players
55.,Uruguay,"$75,754.83",8 Players
56.,Venezuela,"$60,257.79",14 Players
57.,Belarus,"$56,951.45",2 Players
58.,Switzerland,"$53,193.27",45 Players
59.,Latvia,"$51,889.42",37 Players
60.,Morocco,"$40,873.34",20 Players
61.,Colombia,"$36,620.11",36 Players
62.,Costa Rica,"$32,061.58",33 Players
63.,United Arab Emirates,"$29,486.80",9 Players
64.,Algeria,"$24,783.83",4 Players
65.,Macao,"$21,598.98",8 Players
66.,Iraq,"$16,657.14",1 Player
67.,Puerto Rico,"$15,825.99",12 Players
68.,"Iran, Islamic Republic of","$15,338.56",3 Players
69.,Israel,"$14,278.86",17 Players
70.,"Moldova, Republic of","$13,480.69",2 Players
71.,North Macedonia,"$12,751.06",11 Players
72.,Malta,"$12,360.80",83 Players
73.,Ecuador,"$10,786.84",2 Players
74.,South Africa,"$9,601.59",30 Players
75.,Dominican Republic,"$9,280.99",14 Players
76.,Kazakhstan,"$8,844.81",19 Players
77.,Albania,"$7,758.19",10 Players
78.,Kuwait,"$7,105.32",3 Players
79.,Afghanistan,"$6,428.43",1 Player
80.,Syrian Arab Republic,"$5,603.95",2 Players
81.,Luxembourg,"$5,460.62",2 Players
82.,Pakistan,"$5,000.00",5 Players
83.,Panama,"$4,998.37",8 Players
84.,Iceland,"$4,154.78",14 Players
85.,El Salvador,"$4,078.13",7 Players
86.,Guatemala,"$4,025.06",5 Players
87.,Mongolia,"$4,000.00",1 Player
88.,"Palestine, State of","$3,250.00",2 Players
89.,Bolivia,"$3,230.69",1 Player
90.,Nicaragua,"$2,448.96",2 Players
91.,Ireland,"$2,169.89",7 Players
92.,India,"$2,054.60",6 Players
93.,Senegal,"$2,000.00",5 Players
94.,Trinidad and Tobago,"$1,966.26",3 Players
95.,Montenegro,"$1,729.34",7 Players
96.,Lao People's Democratic Republic,"$1,458.40",1 Player
97.,Paraguay,$600.00,1 Player
98.,Georgia,$591.88,7 Players
99.,Bosnia and Herzegovina,$573.03,4 Players
100.,Bangladesh,$500.00,5 Players
101.,Jamaica,$229.17,1 Player
102.,Andorra,$139.71,1 Player
103.,Aruba,$104.17,1 Player
104.,Cyprus,$45.85,1 Player
105.,Faroe Islands,$11.55,1 Player
