rank,country,earning,players
1.,China,"$3,369,707.37",167 Players
2.,Viet Nam,"$753,651.88",133 Players
3.,"Taiwan, Republic of China","$559,682.00",90 Players
4.,Philippines,"$499,449.22",102 Players
5.,"Korea, Republic of","$490,899.51",58 Players
6.,Brazil,"$433,280.01",93 Players
7.,Thailand,"$428,227.07",103 Players
8.,United States,"$228,241.24",28 Players
9.,Japan,"$199,872.71",78 Players
10.,Spain,"$166,770.33",8 Players
11.,Indonesia,"$160,582.39",84 Players
12.,Malaysia,"$123,973.34",68 Players
13.,Argentina,"$104,283.35",23 Players
14.,France,"$95,543.98",11 Players
15.,Hong Kong,"$92,083.28",80 Players
16.,Germany,"$85,075.33",9 Players
17.,Singapore,"$80,778.61",44 Players
18.,Turkey,"$33,951.61",10 Players
19.,Australia,"$28,663.85",46 Players
20.,Netherlands,"$27,502.93",1 Player
21.,Uruguay,"$24,062.63",10 Players
22.,Canada,"$23,476.19",4 Players
23.,Russian Federation,"$23,421.56",7 Players
24.,Venezuela,"$21,495.25",9 Players
25.,United Kingdom,"$18,358.15",1 Player
26.,Chile,"$15,533.33",6 Players
27.,Colombia,"$15,078.58",8 Players
28.,Mexico,"$14,545.24",10 Players
29.,Iraq,"$14,200.00",1 Player
30.,Czech Republic,"$12,945.80",37 Players
31.,Bolivia,"$12,300.00",1 Player
32.,Denmark,"$11,913.54",3 Players
33.,Belgium,"$8,685.26",1 Player
34.,"Iran, Islamic Republic of","$6,566.67",1 Player
35.,Ecuador,"$5,900.00",4 Players
36.,Puerto Rico,"$4,797.62",2 Players
37.,Estonia,"$4,541.39",1 Player
38.,Kyrgyzstan,"$3,826.78",1 Player
39.,Costa Rica,"$2,999.99",4 Players
40.,Sweden,"$2,692.34",1 Player
41.,Switzerland,"$2,074.78",1 Player
42.,Romania,"$1,917.69",1 Player
43.,Brunei Darussalam,"$1,416.67",1 Player
44.,New Zealand,"$1,247.64",7 Players
45.,Slovakia,"$1,158.58",5 Players
46.,Peru,$700.00,2 Players
47.,Bulgaria,$264.67,1 Player
48.,Poland,$83.33,1 Player
49.,Portugal,$16.96,1 Player
