rank,country,earning,players
1.,Indonesia,"$3,054,453.65",246 Players
2.,Philippines,"$2,742,591.00",236 Players
3.,Malaysia,"$946,653.25",218 Players
4.,Singapore,"$614,827.95",135 Players
5.,Myanmar,"$372,517.93",128 Players
6.,Cambodia,"$235,839.37",108 Players
7.,Brazil,"$169,658.29",81 Players
8.,United States,"$95,600.00",6 Players
9.,Thailand,"$70,059.38",16 Players
10.,Brunei Darussalam,"$50,494.29",2 Players
11.,Turkey,"$49,000.00",14 Players
12.,Argentina,"$36,500.00",6 Players
13.,Egypt,"$35,066.66",24 Players
14.,Russian Federation,"$34,660.00",14 Players
15.,Viet Nam,"$33,161.38",24 Players
16.,Saudi Arabia,"$32,666.68",16 Players
17.,United Arab Emirates,"$22,066.67",6 Players
18.,Kuwait,"$20,950.02",7 Players
19.,Peru,"$20,000.00",8 Players
20.,Jordan,"$19,483.33",8 Players
21.,Lao People's Democratic Republic,"$13,957.73",24 Players
22.,Japan,"$13,599.98",9 Players
23.,Ukraine,"$12,850.00",2 Players
24.,"Korea, Republic of","$11,925.92",4 Players
25.,Syrian Arab Republic,"$10,116.68",5 Players
26.,Yemen,"$5,516.67",2 Players
27.,"Palestine, State of","$4,550.00",2 Players
28.,Chile,"$2,500.00",1 Player
29.,Canada,"$2,488.57",1 Player
30.,"Taiwan, Republic of China","$2,202.75",3 Players
31.,Lebanon,"$2,083.33",1 Player
32.,Germany,"$1,191.66",1 Player
33.,United Kingdom,$16.50,1 Player
34.,Algeria,$8.25,1 Player
