rank,country,earning,players
1.,United States,"$3,790,644.34",189 Players
2.,Sweden,"$1,175,197.64",8 Players
3.,United Kingdom,"$978,527.81",52 Players
4.,Canada,"$753,289.33",22 Players
5.,Denmark,"$599,902.64",15 Players
6.,Germany,"$265,551.00",7 Players
7.,China,"$166,800.00",22 Players
8.,Norway,"$157,945.35",4 Players
9.,Ukraine,"$149,200.00",1 Player
10.,Australia,"$148,443.00",45 Players
11.,Portugal,"$112,325.80",2 Players
12.,Brazil,"$109,877.69",70 Players
13.,Netherlands,"$108,796.73",13 Players
14.,Croatia,"$86,775.00",4 Players
15.,Argentina,"$78,630.60",15 Players
16.,Poland,"$59,205.58",3 Players
17.,"Korea, Republic of","$53,741.98",3 Players
18.,Romania,"$38,600.00",1 Player
19.,Bulgaria,"$38,300.00",1 Player
20.,France,"$36,400.00",3 Players
21.,Chile,"$26,461.20",4 Players
22.,Malaysia,"$26,251.96",1 Player
23.,Peru,"$25,780.16",4 Players
24.,Venezuela,"$21,861.20",3 Players
25.,Kuwait,"$19,800.00",1 Player
26.,Israel,"$15,950.00",5 Players
27.,Colombia,"$14,400.00",6 Players
28.,Austria,"$13,106.00",4 Players
29.,Uruguay,"$9,800.00",3 Players
30.,New Zealand,"$9,127.67",3 Players
31.,Russian Federation,"$9,057.14",1 Player
32.,Georgia,"$6,000.00",1 Player
33.,Ecuador,"$5,000.00",1 Player
34.,Italy,"$4,833.33",2 Players
35.,Belgium,"$4,500.00",3 Players
36.,Hungary,"$4,400.00",1 Player
37.,Finland,"$2,650.00",2 Players
38.,Guatemala,"$2,200.00",1 Player
39.,Mexico,"$2,000.00",2 Players
40.,Indonesia,"$1,579.85",2 Players
41.,Czech Republic,"$1,500.00",1 Player
42.,Estonia,"$1,250.00",1 Player
43.,Ireland,"$1,000.00",1 Player
44.,Hong Kong,$800.00,2 Players
45.,Spain,$500.00,5 Players
46.,Serbia,$150.00,1 Player
47.,Iraq,$0.00,1 Player
