rank,country,earning,players
1.,United States,"$1,196,197.85",441 Players
2.,United Kingdom,"$383,632.87",126 Players
3.,Germany,"$300,485.59",191 Players
4.,Australia,"$279,569.51",35 Players
5.,Canada,"$214,080.66",33 Players
6.,Finland,"$153,581.74",36 Players
7.,Portugal,"$89,470.86",19 Players
8.,Spain,"$84,154.83",95 Players
9.,France,"$70,598.56",64 Players
10.,Cuba,"$69,879.00",1 Player
11.,Netherlands,"$43,071.39",84 Players
12.,Norway,"$32,662.19",11 Players
13.,Italy,"$29,901.68",45 Players
14.,Denmark,"$27,119.59",44 Players
15.,Brazil,"$25,828.33",11 Players
16.,Turkey,"$12,593.25",4 Players
17.,Austria,"$7,373.76",20 Players
18.,Poland,"$5,845.92",24 Players
19.,Russian Federation,"$5,789.53",11 Players
20.,Slovakia,"$5,491.00",3 Players
21.,Estonia,"$3,309.00",1 Player
22.,Argentina,"$3,119.31",10 Players
23.,Belgium,"$3,091.08",19 Players
24.,Sweden,"$3,090.06",22 Players
25.,Hungary,"$2,542.30",16 Players
26.,Ireland,"$2,471.83",5 Players
27.,Singapore,"$1,518.33",1 Player
28.,Lithuania,"$1,358.88",3 Players
29.,India,"$1,210.83",1 Player
30.,South Africa,"$1,208.70",3 Players
31.,Japan,"$1,177.32",6 Players
32.,Greece,"$1,117.00",5 Players
33.,Switzerland,"$1,066.70",16 Players
34.,Bulgaria,"$1,000.00",1 Player
35.,Czech Republic,$966.83,6 Players
36.,North Macedonia,$799.45,2 Players
37.,New Zealand,$537.00,3 Players
38.,Isle of Man,$536.00,1 Player
39.,Mexico,$115.00,1 Player
40.,Luxembourg,$109.48,3 Players
41.,Romania,$95.54,4 Players
42.,Dominican Republic,$69.37,2 Players
43.,Slovenia,$63.51,1 Player
44.,Chile,$60.00,2 Players
45.,Croatia,$44.86,3 Players
46.,Malaysia,$33.33,1 Player
47.,Ukraine,$33.33,1 Player
48.,Kazakhstan,$25.00,1 Player
49.,Andorra,$12.00,1 Player
50.,"Virgin Islands, U.S.",$12.00,1 Player
51.,Serbia,$11.25,1 Player
52.,Puerto Rico,$5.82,1 Player
