rank,country,earning,players
1.,Netherlands,"$414,460.42",69 Players
2.,Germany,"$214,724.18",54 Players
3.,United Kingdom,"$178,111.98",72 Players
4.,Finland,"$159,046.01",16 Players
5.,Italy,"$138,894.57",52 Players
6.,Sweden,"$120,700.10",8 Players
7.,France,"$103,597.42",29 Players
8.,Slovenia,"$94,351.67",7 Players
9.,Denmark,"$86,107.89",34 Players
10.,North Macedonia,"$82,265.35",2 Players
11.,Poland,"$74,302.74",27 Players
12.,Brazil,"$64,421.44",9 Players
13.,Argentina,"$43,334.53",5 Players
14.,Croatia,"$40,441.52",5 Players
15.,Czech Republic,"$37,748.49",9 Players
16.,Hungary,"$36,038.59",21 Players
17.,United States,"$34,006.13",19 Players
18.,Estonia,"$32,935.92",24 Players
19.,Switzerland,"$28,137.59",5 Players
20.,Portugal,"$26,691.00",8 Players
21.,Australia,"$25,300.81",14 Players
22.,Belgium,"$22,251.86",5 Players
23.,China,"$21,050.00",1 Player
24.,New Zealand,"$20,229.83",3 Players
25.,Spain,"$14,000.72",14 Players
26.,Norway,"$10,796.93",5 Players
27.,Greece,"$10,154.66",7 Players
28.,Lithuania,"$9,875.00",1 Player
29.,Russian Federation,"$8,121.13",16 Players
30.,Turkey,"$8,091.20",3 Players
31.,Canada,"$7,833.12",6 Players
32.,South Africa,"$7,176.67",4 Players
33.,Indonesia,"$6,051.59",43 Players
34.,Bulgaria,"$5,039.29",9 Players
35.,Austria,"$3,878.83",5 Players
36.,Malaysia,"$3,180.58",2 Players
37.,Luxembourg,"$2,500.00",1 Player
38.,Ireland,"$2,433.28",8 Players
39.,Philippines,"$2,278.02",1 Player
40.,Singapore,"$2,093.73",3 Players
41.,Isle of Man,"$1,250.00",1 Player
42.,Serbia,"$1,206.40",2 Players
43.,Slovakia,"$1,122.54",4 Players
44.,Colombia,$250.00,1 Player
45.,Peru,$196.87,3 Players
46.,Romania,$161.58,1 Player
47.,Ukraine,$54.00,1 Player
48.,Chile,$50.89,1 Player
49.,India,$3.39,1 Player
