rank,country,earning,players
1.,Germany,"$525,700.86",35 Players
2.,Brazil,"$440,625.00",34 Players
3.,Argentina,"$324,455.00",13 Players
4.,United Kingdom,"$174,499.99",23 Players
5.,Spain,"$165,904.99",18 Players
6.,Italy,"$144,750.00",17 Players
7.,Portugal,"$120,000.00",9 Players
8.,Netherlands,"$111,999.99",7 Players
9.,Poland,"$81,184.72",7 Players
10.,United States,"$74,625.00",8 Players
11.,Sweden,"$71,500.00",8 Players
12.,Denmark,"$67,500.00",11 Players
13.,France,"$58,915.00",13 Players
14.,Saudi Arabia,"$57,000.00",12 Players
15.,Israel,"$53,749.99",3 Players
16.,Mexico,"$51,124.99",11 Players
17.,Australia,"$41,250.00",9 Players
18.,Japan,"$34,259.83",8 Players
19.,Egypt,"$27,000.00",6 Players
20.,Belgium,"$26,750.00",2 Players
21.,Romania,"$22,394.90",2 Players
22.,United Arab Emirates,"$18,749.99",5 Players
23.,India,"$15,499.99",3 Players
24.,Malaysia,"$14,500.00",5 Players
25.,"Korea, Republic of","$13,137.29",5 Players
26.,Canada,"$13,000.00",3 Players
27.,Serbia,"$12,593.94",2 Players
28.,Singapore,"$11,249.98",7 Players
29.,Kuwait,"$10,500.00",1 Player
30.,Czech Republic,"$10,086.32",10 Players
31.,Senegal,"$8,500.00",1 Player
32.,Colombia,"$8,000.00",3 Players
33.,Turkey,"$7,250.00",2 Players
34.,Hong Kong,"$6,274.60",4 Players
35.,South Africa,"$6,000.00",2 Players
36.,Hungary,"$5,724.52",2 Players
37.,Indonesia,"$5,000.00",2 Players
38.,Norway,"$5,000.00",1 Player
39.,Austria,"$4,750.00",1 Player
40.,Peru,"$4,749.99",5 Players
41.,Venezuela,"$4,000.00",2 Players
42.,Ireland,"$3,500.00",1 Player
43.,Qatar,"$3,500.00",1 Player
44.,Chile,"$3,250.00",2 Players
45.,Croatia,"$2,751.25",3 Players
46.,Kazakhstan,"$2,499.99",3 Players
47.,Morocco,"$2,499.99",3 Players
48.,Panama,"$2,000.00",1 Player
49.,Russian Federation,"$1,250.00",1 Player
50.,Slovenia,"$1,144.90",2 Players
51.,Slovakia,"$1,144.90",2 Players
52.,Bulgaria,"$1,000.00",1 Player
53.,Ecuador,"$1,000.00",1 Player
54.,Luxembourg,"$1,000.00",1 Player
55.,Malta,"$1,000.00",1 Player
