rank,country,earning,players
1.,United States,"$9,410,644.47",1155 Players
2.,France,"$3,818,254.15",238 Players
3.,United Kingdom,"$2,705,441.86",326 Players
4.,Brazil,"$1,888,847.82",85 Players
5.,Canada,"$1,739,293.14",169 Players
6.,Australia,"$1,658,282.52",223 Players
7.,Saudi Arabia,"$1,437,427.56",88 Players
8.,Netherlands,"$1,094,489.30",159 Players
9.,Spain,"$1,004,786.61",101 Players
10.,Germany,"$681,834.06",174 Players
11.,Sweden,"$571,847.60",50 Players
12.,Finland,"$352,546.79",39 Players
13.,Belgium,"$351,694.80",70 Players
14.,South Africa,"$337,578.19",62 Players
15.,Denmark,"$330,480.07",52 Players
16.,Argentina,"$319,085.91",23 Players
17.,Japan,"$254,941.65",62 Players
18.,Italy,"$242,638.38",71 Players
19.,New Zealand,"$207,923.40",21 Players
20.,Austria,"$206,823.64",34 Players
21.,Morocco,"$198,656.40",3 Players
22.,Chile,"$192,399.47",22 Players
23.,Norway,"$163,924.00",61 Players
24.,Ireland,"$117,375.89",41 Players
25.,Switzerland,"$97,476.34",85 Players
26.,Portugal,"$93,039.10",29 Players
27.,Indonesia,"$87,943.65",14 Players
28.,Poland,"$85,187.72",25 Players
29.,Singapore,"$77,482.50",14 Players
30.,Puerto Rico,"$36,178.34",6 Players
31.,Mexico,"$34,379.29",20 Players
32.,Iceland,"$29,147.40",26 Players
33.,India,"$27,841.22",15 Players
34.,Czech Republic,"$19,498.92",28 Players
35.,Malaysia,"$19,017.30",3 Players
36.,Thailand,"$14,783.34",2 Players
37.,Hungary,"$14,178.93",47 Players
38.,Qatar,"$13,025.69",15 Players
39.,Turkey,"$10,856.06",17 Players
40.,Yemen,"$9,536.67",1 Player
41.,Croatia,"$7,692.52",16 Players
42.,Kuwait,"$6,815.88",9 Players
43.,Lithuania,"$6,699.18",4 Players
44.,Philippines,"$6,466.67",5 Players
45.,Uruguay,"$4,483.33",3 Players
46.,Romania,"$3,565.71",7 Players
47.,Egypt,"$3,412.49",1 Player
48.,Peru,"$2,163.11",4 Players
49.,Guernsey,"$2,123.23",1 Player
50.,Luxembourg,"$2,093.39",6 Players
51.,Slovakia,"$1,921.04",4 Players
52.,Malta,"$1,845.70",21 Players
53.,Brunei Darussalam,"$1,341.66",1 Player
54.,Serbia,"$1,160.78",3 Players
55.,Russian Federation,"$1,000.52",9 Players
56.,Israel,$984.66,2 Players
57.,"Palestine, State of",$892.86,1 Player
58.,Reunion,$800.00,2 Players
59.,Oman,$500.00,1 Player
60.,Albania,$415.57,1 Player
61.,Hong Kong,$359.99,2 Players
62.,Bangladesh,$300.00,1 Player
63.,Latvia,$276.24,1 Player
64.,Slovenia,$275.59,1 Player
65.,Monaco,$267.87,1 Player
66.,"Korea, Republic of",$176.92,1 Player
67.,Estonia,$176.00,1 Player
68.,Colombia,$154.85,9 Players
69.,Jersey,$138.76,1 Player
70.,Ukraine,$112.53,1 Player
71.,Mozambique,$95.07,1 Player
72.,Ecuador,$75.00,1 Player
73.,Panama,$75.00,1 Player
74.,Kazakhstan,$66.67,1 Player
75.,Dominican Republic,$19.94,1 Player
76.,Bolivia,$16.67,1 Player
