rank,country,earning,players
1.,France,"$191,114.84",38 Players
2.,Serbia,"$105,480.22",2 Players
3.,Spain,"$101,755.11",11 Players
4.,Canada,"$92,332.22",18 Players
5.,Greece,"$67,412.69",3 Players
6.,United Kingdom,"$58,511.60",11 Players
7.,China,"$48,767.49",231 Players
8.,"Korea, Republic of","$44,933.59",23 Players
9.,Norway,"$40,286.86",4 Players
10.,Germany,"$32,085.58",44 Players
11.,Russian Federation,"$23,556.88",48 Players
12.,Australia,"$19,413.21",19 Players
13.,United States,"$18,118.56",34 Players
14.,Turkey,"$15,111.67",5 Players
15.,Argentina,"$13,383.73",3 Players
16.,Sweden,"$11,199.79",6 Players
17.,Netherlands,"$7,650.83",5 Players
18.,Viet Nam,"$5,164.94",11 Players
19.,Brazil,"$4,816.03",20 Players
20.,Hungary,"$4,476.47",5 Players
21.,Poland,"$4,201.17",12 Players
22.,Switzerland,"$3,284.13",10 Players
23.,Japan,"$2,985.67",5 Players
24.,Belarus,"$2,932.66",1 Player
25.,Finland,"$2,776.00",9 Players
26.,"Taiwan, Republic of China","$2,627.01",10 Players
27.,Austria,"$2,136.04",6 Players
28.,Romania,"$1,652.00",2 Players
29.,Ukraine,"$1,588.50",3 Players
30.,Thailand,"$1,477.00",4 Players
31.,Mexico,$833.13,2 Players
32.,Peru,$361.67,5 Players
33.,North Macedonia,$269.16,1 Player
34.,New Zealand,$170.00,1 Player
35.,Italy,$160.46,2 Players
36.,Portugal,$136.90,2 Players
37.,--UNDEFINED--,$123.36,3 Players
38.,Hong Kong,$122.00,1 Player
39.,Chile,$48.05,3 Players
40.,Israel,$27.00,1 Player
41.,Denmark,$25.35,1 Player
42.,Czech Republic,$22.50,3 Players
43.,Bosnia and Herzegovina,$15.00,1 Player
