rank,country,earning,players
1.,"Korea, Republic of","$515,267.34",33 Players
2.,China,"$352,000.00",11 Players
3.,United States,"$97,672.00",53 Players
4.,Pakistan,"$50,000.00",1 Player
5.,Japan,"$22,000.00",2 Players
6.,Germany,"$20,500.00",1 Player
7.,Viet Nam,"$17,000.00",4 Players
8.,Spain,"$14,000.00",1 Player
9.,Canada,"$10,047.00",7 Players
10.,Thailand,"$9,800.00",2 Players
11.,United Kingdom,"$8,500.00",2 Players
12.,Belarus,"$8,000.00",2 Players
13.,Hong Kong,"$8,000.00",1 Player
14.,Indonesia,"$6,000.00",1 Player
15.,Bolivia,"$4,000.00",1 Player
16.,Brazil,"$4,000.00",1 Player
17.,Turkey,"$1,400.00",3 Players
18.,Austria,$800.00,1 Player
19.,Philippines,$400.00,1 Player
20.,Russian Federation,$325.00,2 Players
21.,--UNDEFINED--,$100.00,1 Player
22.,Norway,$75.00,1 Player
23.,Ukraine,$75.00,1 Player
