rank,country,earning,players
1.,Japan,"$1,840,687.46",83 Players
2.,Brazil,"$665,375.12",50 Players
3.,Spain,"$480,708.31",45 Players
4.,United States,"$472,049.84",47 Players
5.,Canada,"$343,250.00",14 Players
6.,Singapore,"$340,833.38",46 Players
7.,China,"$267,885.62",57 Players
8.,Italy,"$266,233.49",11 Players
9.,United Kingdom,"$240,458.32",8 Players
10.,Germany,"$221,503.11",9 Players
11.,France,"$193,718.41",27 Players
12.,Mexico,"$192,961.87",28 Players
13.,Russian Federation,"$190,649.52",25 Players
14.,Puerto Rico,"$149,350.01",4 Players
15.,India,"$128,125.03",46 Players
16.,Austria,"$100,486.93",1 Player
17.,"Moldova, Republic of","$90,744.26",2 Players
18.,"Korea, Republic of","$75,895.78",26 Players
19.,Denmark,"$69,837.59",1 Player
20.,Poland,"$68,416.69",5 Players
21.,Chile,"$66,087.16",17 Players
22.,Switzerland,"$44,807.60",4 Players
23.,Norway,"$42,640.80",1 Player
24.,Argentina,"$39,179.14",13 Players
25.,Ukraine,"$37,750.07",13 Players
26.,Malaysia,"$34,749.99",20 Players
27.,Guatemala,"$17,875.00",3 Players
28.,Hong Kong,"$12,500.01",3 Players
29.,Czech Republic,"$9,895.85",6 Players
30.,Colombia,"$8,833.33",3 Players
31.,Peru,"$8,666.65",4 Players
32.,Honduras,"$6,800.00",6 Players
33.,Romania,"$6,000.00",2 Players
34.,Australia,"$5,583.34",5 Players
35.,Bangladesh,"$5,187.50",2 Players
36.,Philippines,"$4,583.33",2 Players
37.,Finland,"$4,000.00",1 Player
38.,Armenia,"$3,916.67",1 Player
39.,Indonesia,"$3,895.82",7 Players
40.,Bahrain,"$2,625.00",3 Players
41.,Ecuador,"$2,000.00",1 Player
42.,Uruguay,"$1,833.34",3 Players
43.,New Zealand,"$1,666.67",1 Player
44.,Paraguay,"$1,500.00",1 Player
45.,"Taiwan, Republic of China","$1,375.00",2 Players
46.,Kuwait,"$1,187.50",1 Player
47.,El Salvador,"$1,166.67",1 Player
48.,Turkey,"$1,083.33",2 Players
49.,Iraq,$937.50,1 Player
50.,Costa Rica,$600.00,2 Players
51.,Croatia,$581.90,1 Player
52.,Serbia,$581.90,1 Player
53.,Luxembourg,$375.00,1 Player
54.,Thailand,$375.00,1 Player
55.,Netherlands,$333.33,1 Player
56.,Belarus,$250.00,1 Player
57.,Dominican Republic,$250.00,1 Player
58.,Saudi Arabia,$187.50,1 Player
59.,Venezuela,$37.50,1 Player
