rank,country,earning,players
1.,United States,"$1,724,527.27",219 Players
2.,Russian Federation,"$953,432.26",140 Players
3.,India,"$442,015.72",109 Players
4.,China,"$257,462.29",34 Players
5.,Armenia,"$163,148.30",31 Players
6.,Netherlands,"$160,033.76",21 Players
7.,Ukraine,"$143,349.53",51 Players
8.,Norway,"$136,046.30",16 Players
9.,France,"$123,113.69",27 Players
10.,Azerbaijan,"$118,638.21",34 Players
11.,"Iran, Islamic Republic of","$114,255.50",18 Players
12.,Uzbekistan,"$105,384.77",13 Players
13.,Germany,"$90,050.02",36 Players
14.,Viet Nam,"$87,710.47",10 Players
15.,Peru,"$79,914.31",11 Players
16.,Poland,"$78,810.69",29 Players
17.,Canada,"$65,145.79",34 Players
18.,United Kingdom,"$53,205.45",23 Players
19.,Spain,"$48,989.52",35 Players
20.,Belarus,"$39,464.42",7 Players
21.,Georgia,"$38,772.65",18 Players
22.,Greece,"$22,342.45",8 Players
23.,Argentina,"$21,912.88",8 Players
24.,Hungary,"$20,935.70",8 Players
25.,Kazakhstan,"$20,410.52",14 Players
26.,Sweden,"$19,329.50",12 Players
27.,Czech Republic,"$16,178.26",7 Players
28.,Romania,"$13,191.16",7 Players
29.,Bulgaria,"$12,183.95",10 Players
30.,Egypt,"$10,652.72",3 Players
31.,United Arab Emirates,"$10,211.11",1 Player
32.,Venezuela,"$10,024.93",4 Players
33.,Brazil,"$9,493.68",11 Players
34.,Chile,"$9,040.82",4 Players
35.,Israel,"$8,849.46",9 Players
36.,Italy,"$8,266.41",18 Players
37.,Turkey,"$7,837.21",22 Players
38.,Serbia,"$7,710.97",12 Players
39.,Ireland,"$7,346.23",6 Players
40.,Denmark,"$7,324.75",4 Players
41.,Croatia,"$5,931.27",12 Players
42.,Monaco,"$5,312.50",1 Player
43.,Morocco,"$4,000.00",1 Player
44.,Lithuania,"$3,697.62",5 Players
45.,Slovenia,"$2,995.22",7 Players
46.,Iceland,"$2,600.00",3 Players
47.,Australia,"$2,562.29",3 Players
48.,Paraguay,"$2,366.49",2 Players
49.,Mexico,"$2,024.75",5 Players
50.,Latvia,"$1,928.92",6 Players
51.,Cuba,"$1,275.66",3 Players
52.,Indonesia,"$1,150.00",3 Players
53.,Bangladesh,$900.00,2 Players
54.,Mongolia,$900.00,1 Player
55.,South Africa,$850.00,1 Player
56.,Philippines,$800.33,6 Players
57.,Japan,$800.00,1 Player
58.,Ecuador,$754.17,3 Players
59.,New Zealand,$750.00,1 Player
60.,Slovakia,$675.55,3 Players
61.,Andorra,$575.00,1 Player
62.,Sri Lanka,$500.00,1 Player
63.,Colombia,$468.05,2 Players
64.,Belgium,$400.00,1 Player
65.,Portugal,$400.00,1 Player
66.,Finland,$399.00,2 Players
67.,Estonia,$299.00,3 Players
68.,Malaysia,$216.43,1 Player
69.,"Moldova, Republic of",$149.00,2 Players
70.,Montenegro,$136.00,2 Players
71.,Bosnia and Herzegovina,$100.00,1 Player
72.,Dominican Republic,$100.00,1 Player
73.,Algeria,$100.00,1 Player
74.,Jamaica,$75.75,1 Player
75.,North Macedonia,$62.50,1 Player
76.,Hong Kong,$57.21,2 Players
77.,Switzerland,$25.00,1 Player
