rank,country,earning,players
1.,Japan,"$1,035,633.28",52 Players
2.,China,"$738,578.24",49 Players
3.,United States,"$666,874.71",75 Players
4.,Spain,"$634,494.60",41 Players
5.,Mexico,"$553,642.12",33 Players
6.,Germany,"$527,896.81",25 Players
7.,Egypt,"$510,500.00",3 Players
8.,"Korea, Republic of","$475,374.99",39 Players
9.,Brazil,"$452,018.75",30 Players
10.,France,"$207,821.12",37 Players
11.,Netherlands,"$148,283.48",5 Players
12.,Russian Federation,"$128,140.00",9 Players
13.,Poland,"$99,730.50",5 Players
14.,Portugal,"$84,225.00",3 Players
15.,United Kingdom,"$79,972.92",7 Players
16.,Hong Kong,"$73,170.23",5 Players
17.,Italy,"$71,840.25",8 Players
18.,Canada,"$70,625.00",7 Players
19.,Viet Nam,"$58,764.01",5 Players
20.,Colombia,"$55,483.34",10 Players
21.,"Taiwan, Republic of China","$49,250.00",7 Players
22.,Argentina,"$48,266.67",9 Players
23.,Turkey,"$47,600.00",5 Players
24.,Peru,"$45,100.00",4 Players
25.,Philippines,"$43,000.00",7 Players
26.,Venezuela,"$38,660.42",4 Players
27.,Indonesia,"$34,541.66",6 Players
28.,Belarus,"$29,665.42",4 Players
29.,Romania,"$26,916.67",3 Players
30.,Singapore,"$17,000.00",1 Player
31.,Slovakia,"$16,585.07",3 Players
32.,Israel,"$15,750.00",2 Players
33.,Finland,"$13,000.00",2 Players
34.,Hungary,"$11,585.07",2 Players
35.,Bosnia and Herzegovina,"$10,900.00",1 Player
36.,Czech Republic,"$10,723.38",4 Players
37.,Bolivia,"$10,000.00",1 Player
38.,Austria,"$8,000.00",1 Player
39.,Serbia,"$7,500.00",2 Players
40.,Dominican Republic,"$6,500.00",2 Players
41.,Bulgaria,"$6,450.00",2 Players
42.,Chile,"$4,500.00",3 Players
43.,Lebanon,"$3,857.44",2 Players
44.,Sweden,"$3,500.00",2 Players
45.,Kazakhstan,"$2,750.00",2 Players
46.,Syrian Arab Republic,"$2,600.00",1 Player
47.,Pakistan,"$2,130.00",1 Player
48.,Belgium,"$1,812.13",3 Players
49.,Cuba,"$1,500.00",1 Player
50.,Libyan Arab Jamahiriya,"$1,500.00",1 Player
51.,Honduras,"$1,250.00",1 Player
52.,Ukraine,"$1,050.00",2 Players
53.,Switzerland,"$1,000.00",1 Player
54.,Costa Rica,"$1,000.00",1 Player
55.,India,"$1,000.00",1 Player
56.,Nicaragua,"$1,000.00",1 Player
57.,Australia,$600.00,1 Player
58.,Guatemala,$500.00,1 Player
59.,Iraq,$500.00,1 Player
60.,Panama,$200.00,2 Players
