rank,country,earning,players
1.,"Korea, Republic of","$23,220,865.10",647 Players
2.,China,"$1,793,952.91",275 Players
3.,United States,"$1,457,372.94",321 Players
4.,Finland,"$1,421,488.03",50 Players
5.,France,"$1,261,867.32",110 Players
6.,Germany,"$1,258,996.50",121 Players
7.,Poland,"$1,185,552.12",81 Players
8.,Canada,"$973,354.78",122 Players
9.,Sweden,"$731,913.55",65 Players
10.,Mexico,"$619,983.24",19 Players
11.,Italy,"$618,114.43",21 Players
12.,"Taiwan, Republic of China","$616,193.65",75 Players
13.,Netherlands,"$462,697.77",49 Players
14.,Norway,"$458,693.69",58 Players
15.,Ukraine,"$404,923.59",38 Players
16.,Russian Federation,"$371,435.69",99 Players
17.,Australia,"$333,210.87",59 Players
18.,Brazil,"$255,171.24",33 Players
19.,Spain,"$201,324.54",37 Players
20.,Denmark,"$199,261.25",34 Players
21.,United Kingdom,"$149,490.32",58 Players
22.,Peru,"$56,744.96",19 Players
23.,Chile,"$54,740.30",14 Players
24.,New Zealand,"$52,857.09",15 Players
25.,Kazakhstan,"$40,111.25",10 Players
26.,Viet Nam,"$36,290.93",8 Players
27.,Singapore,"$35,817.09",42 Players
28.,Philippines,"$35,789.90",12 Players
29.,Hong Kong,"$27,695.48",5 Players
30.,Austria,"$25,935.73",8 Players
31.,Romania,"$25,618.68",7 Players
32.,Croatia,"$23,518.28",9 Players
33.,Serbia,"$18,939.83",1 Player
34.,Belgium,"$17,496.66",15 Players
35.,Switzerland,"$17,031.78",15 Players
36.,Slovenia,"$16,476.88",1 Player
37.,Japan,"$15,542.34",6 Players
38.,India,"$14,748.17",1 Player
39.,Colombia,"$14,543.50",3 Players
40.,Malaysia,"$14,166.93",28 Players
41.,South Africa,"$13,474.95",15 Players
42.,Belarus,"$12,876.37",4 Players
43.,Thailand,"$11,366.68",17 Players
44.,Venezuela,"$10,371.42",5 Players
45.,Lithuania,"$8,847.11",8 Players
46.,Argentina,"$6,271.40",16 Players
47.,Czech Republic,"$5,856.82",19 Players
48.,Turkey,"$4,894.75",2 Players
49.,Mongolia,"$4,887.50",1 Player
50.,Portugal,"$4,611.73",4 Players
51.,Bulgaria,"$4,429.81",11 Players
52.,Slovakia,"$3,615.49",4 Players
53.,Israel,"$3,275.89",5 Players
54.,Ireland,"$2,772.34",5 Players
55.,Bolivia,"$2,600.00",3 Players
56.,Indonesia,"$2,480.00",8 Players
57.,Myanmar,"$1,425.00",7 Players
58.,Brunei Darussalam,"$1,350.00",4 Players
59.,Lao People's Democratic Republic,"$1,350.00",6 Players
60.,Estonia,"$1,223.89",3 Players
61.,Saudi Arabia,"$1,198.60",1 Player
62.,Syrian Arab Republic,"$1,198.60",1 Player
63.,Panama,"$1,000.00",2 Players
64.,Costa Rica,$637.00,2 Players
65.,Hungary,$461.80,5 Players
66.,United Arab Emirates,$400.00,1 Player
67.,Greece,$384.44,2 Players
68.,"Iran, Islamic Republic of",$333.90,2 Players
69.,Luxembourg,$173.51,1 Player
70.,Albania,$106.67,1 Player
71.,Uruguay,$50.00,1 Player
72.,"Moldova, Republic of",$7.50,1 Player
