rank,country,earning,players
1.,China,"$2,025,769.50",61 Players
2.,United States,"$598,800.00",75 Players
3.,France,"$288,440.48",56 Players
4.,"Korea, Republic of","$284,607.60",22 Players
5.,Brazil,"$201,488.66",47 Players
6.,Japan,"$158,000.00",16 Players
7.,Argentina,"$107,175.00",15 Players
8.,Australia,"$99,586.64",17 Players
9.,Germany,"$91,840.18",29 Players
10.,Poland,"$78,536.78",30 Players
11.,Turkey,"$72,724.61",28 Players
12.,Canada,"$65,175.00",12 Players
13.,Viet Nam,"$38,675.00",3 Players
14.,Russian Federation,"$38,259.82",14 Players
15.,Denmark,"$30,709.88",4 Players
16.,United Kingdom,"$24,266.62",9 Players
17.,Spain,"$23,178.32",22 Players
18.,Colombia,"$20,000.00",2 Players
19.,Czech Republic,"$17,791.09",5 Players
20.,Peru,"$14,500.00",2 Players
21.,Belgium,"$13,709.90",4 Players
22.,Sweden,"$12,893.56",7 Players
23.,--UNDEFINED--,"$10,971.33",4 Players
24.,Mexico,"$10,545.18",5 Players
25.,Hungary,"$9,801.45",7 Players
26.,Italy,"$9,530.99",11 Players
27.,Chile,"$9,175.00",2 Players
28.,Singapore,"$7,851.84",3 Players
29.,Bolivia,"$5,000.00",1 Player
30.,Tunisia,"$5,000.00",1 Player
31.,Costa Rica,"$4,500.00",1 Player
32.,"Taiwan, Republic of China","$3,500.00",1 Player
33.,Finland,"$3,481.24",4 Players
34.,Netherlands,"$3,325.91",2 Players
35.,Ukraine,"$2,875.00",2 Players
36.,Hong Kong,"$2,725.00",1 Player
37.,Greece,"$1,920.52",7 Players
38.,Croatia,"$1,889.60",2 Players
39.,Egypt,"$1,506.27",2 Players
40.,Morocco,"$1,450.00",1 Player
41.,Ecuador,"$1,000.00",1 Player
42.,Portugal,$994.96,4 Players
43.,Romania,$865.36,1 Player
44.,Paraguay,$750.00,1 Player
45.,Belarus,$554.47,1 Player
46.,South Africa,$453.18,1 Player
47.,Switzerland,$449.73,2 Players
48.,Georgia,$432.68,1 Player
49.,Serbia,$403.03,1 Player
50.,New Zealand,$309.76,1 Player
51.,Austria,$113.17,1 Player
52.,Norway,$97.99,1 Player
53.,Venezuela,$59.04,1 Player
54.,Bulgaria,$56.59,1 Player
55.,Slovakia,$55.73,1 Player
