rank,country,earning,players
1.,"Korea, Republic of","$2,262,209.92",176 Players
2.,China,"$1,855,303.66",169 Players
3.,Germany,"$558,045.51",120 Players
4.,Netherlands,"$310,655.63",4 Players
5.,Russian Federation,"$296,801.77",113 Players
6.,France,"$195,471.52",45 Players
7.,Sweden,"$176,591.71",40 Players
8.,United States,"$123,020.19",30 Players
9.,Ukraine,"$106,307.24",18 Players
10.,Bulgaria,"$74,387.25",25 Players
11.,Norway,"$69,167.91",9 Players
12.,Spain,"$31,193.04",7 Players
13.,Finland,"$22,876.07",10 Players
14.,Denmark,"$20,833.04",19 Players
15.,Croatia,"$20,357.74",3 Players
16.,United Kingdom,"$19,529.32",11 Players
17.,Czech Republic,"$18,532.07",31 Players
18.,Singapore,"$14,813.38",9 Players
19.,Kazakhstan,"$12,695.06",15 Players
20.,"Taiwan, Republic of China","$12,580.16",2 Players
21.,Belarus,"$7,866.78",13 Players
22.,Lithuania,"$6,995.86",6 Players
23.,Poland,"$6,435.60",12 Players
24.,Peru,"$6,147.77",5 Players
25.,Romania,"$5,587.18",1 Player
26.,Argentina,"$4,000.00",2 Players
27.,Brazil,"$4,000.00",8 Players
28.,Canada,"$3,513.42",6 Players
29.,Serbia,"$2,620.50",12 Players
30.,Mexico,"$1,300.00",1 Player
31.,Hong Kong,"$1,280.00",3 Players
32.,Belgium,"$1,144.15",2 Players
33.,Austria,"$1,000.00",1 Player
34.,Switzerland,"$1,000.00",1 Player
35.,Slovakia,$910.98,3 Players
36.,"Moldova, Republic of",$900.85,1 Player
37.,Australia,$646.56,2 Players
38.,Greece,$631.00,2 Players
39.,Indonesia,$570.44,1 Player
40.,Malaysia,$496.00,3 Players
41.,Italy,$287.18,1 Player
42.,Estonia,$150.00,1 Player
43.,Latvia,$150.00,1 Player
44.,Ireland,$16.67,1 Player
45.,Turkey,$13.22,1 Player
46.,Hungary,$5.50,1 Player
